station,legacy_category,legacy_industrial,note
DEB-KER01,industrial,1,ÉNYGÖ northwest business estate (BMW körút)
DEB-KER02,industrial,1,ÉNYGÖ M35 junction business corridor
DEB-KER03,agrarian_village,0,Szepes homestead gardens / field edge
DEB-KER04,railway_industrial,1,DGÖ factory-town precinct (railway workshops)
DEB-KER05,socialist_estate,0,inner-city interwar/socialist housing (approx.)
DEB-KER06,socialist_estate,0,post-war northern housing estate
DEB-KER07,socialist_estate,0,Szávay Gyula utca estate district
DEB-KER08,socialist_estate,0,Benczúr utca housing estate
DEB-KER09,old_town_core,0,Sétakert historic promenade district
DEB-KER10,socialist_estate,0,Angyalföld tér inner mixed residential
DEB-KER11,railway_industrial,1,Petőfi tér railway-station precinct
DEB-KER12,forest,0,Hármashegy forest school
DEB-KER13,residential_edge,0,Vezér úti water-reservoir park edge
DEB-KER14,agrarian_village,0,Mikepércs village ribbon
DEB-KER15,research_campus,0,ATOMKI research campus
DEB-KER18,residential_edge,0,Józsa suburban ribbon
